Average Number of Humans per Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film Name,Part,Year,,Era,Average,Standard Deviation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Blokada 1974,1,1974,Brezhnev,1970s,2.95209989,3.127109354,30554,35799,54930,22219,8610,6715,4477,4412,4942,5000,3667,2878,1953,1220,878,468,250,110,56,44,27,13,12,5,4,2,3
Blokada 1974,2,1974,Brezhnev,1970s,2.532069781,2.809874794,17636,41508,30808,14612,7929,4203,2926,1843,1342,1320,1379,1462,1491,1051,600,313,160,40,11,2,1,,,,,,
Blokada 1974,3,1974,Brezhnev,1970s,2.344525986,2.642822271,44568,41383,54477,14493,9007,7331,5287,3108,4400,2810,2288,1679,1052,662,364,190,80,34,7,2,,,,,,,
Blokada 1974,4,1974,Brezhnev,1970s,3.24214055,2.858472303,12449,17363,30364,14372,15153,8043,4410,3186,2228,1838,1685,1497,978,585,365,204,163,142,61,36,17,7,1,1,,,
Oni srazhalis za rodinu 1975,1,1975,Brezhnev,1970s,2.282451472,2.690831453,25500,30795,30307,9136,5120,3756,2963,2465,2130,1488,1005,770,624,401,261,156,107,81,51,36,36,19,10,14,14,5,2
Oni srazhalis za rodinu 1975,2,1975,Brezhnev,1970s,2.355689643,2.926105394,15274,38270,28135,10031,5537,2074,1696,1525,1086,882,738,897,817,573,437,363,236,143,86,87,94,84,54,44,12,18,23
Variant Omega 1975,1,1975,Brezhnev,1970s,1.888199631,1.586181048,14692,41893,45439,14644,4667,1863,1423,1472,682,403,352,249,101,53,41,18,1,3,,,,,,,,,
Variant Omega 1975,2,1975,Brezhnev,1970s,2.159225867,1.846435373,11204,39697,39011,17157,6151,4096,2063,1486,1109,831,520,403,247,70,23,15,10,6,5,6,1,1,1,,,,
Variant Omega 1975,3,1975,Brezhnev,1970s,1.789650642,1.31306838,11683,44368,52649,12087,3736,2184,1435,507,211,131,81,79,83,60,46,24,10,2,2,1,1,,,,,,
Variant Omega 1975,4,1975,Brezhnev,1970s,1.854370786,1.288959355,8779,53704,44098,17610,6877,3162,924,364,189,144,84,73,73,34,20,13,6,,,,,,,,,,
Variant Omega 1975,5,1975,Brezhnev,1970s,1.72402794,1.390551946,11991,51371,38882,13967,3567,1600,765,431,285,303,226,211,135,62,22,12,3,2,,,,,,,,,
Dvadcat dnej bez vojny,,1976,Brezhnev,1970s,2.68285015,2.400497768,16240,36691,36626,18246,12648,7000,4827,4051,3319,2231,1388,912,475,238,104,36,12,1,,,,,,,,,
Obelisk,,1976,Brezhnev,1970s,3.25613641,3.158889576,17343,30422,30117,19251,11252,6691,5235,5103,4325,3017,2470,1783,1346,1422,1003,546,176,57,10,3,1,,,,,,
Po dannym ugolovnogo rozyska,,1979,Brezhnev,1970s,2.238403392,2.285754589,19611,35228,33439,15738,7874,3997,2562,1564,1043,676,765,890,780,530,209,80,24,5,,,,,,,,,
Mersedes uhodit ot pogoni,,1980,Brezhnev,1980s,2.193540231,2.124009142,18163,32427,25276,15309,7694,4013,2125,1731,1283,1020,783,432,258,135,57,27,7,4,3,,,,,,,,
My smerti smotreli v lico,,1980,Brezhnev,1980s,2.772653545,2.612454365,6144,37494,25238,10101,6308,4895,3793,3057,2887,2180,1444,804,493,259,154,92,54,19,7,2,,,,,,,
Aleksandr Malenkij,,1981,Brezhnev,1980s,3.152195497,3.01722838,15502,39876,41495,24419,11887,7559,5680,5096,4406,3656,3052,2153,1612,1021,682,514,378,139,57,22,4,,,,,,
V nebe nochnye vedmy,,1981,Brezhnev,1980s,2.060932277,2.27860156,22679,33563,30712,10421,4600,2901,2543,1906,1137,947,874,615,490,298,174,81,28,9,1,,,,,,,,
Den komandira divizii,,1983,Brezhnev,1980s,2.353599274,1.852550643,16491,31983,29440,22787,15698,6702,3358,1762,676,342,226,159,164,155,68,32,10,1,,,,,,,,,
Pristupit k likvidacii 1983,2,1983,Brezhnev,1980s,1.895651718,2.00756373,20804,40410,28875,9601,4610,2863,2368,1529,1087,760,524,387,263,144,71,40,17,9,4,1,,,,,,,
Shel chetvertyj god vojny,,1983,Brezhnev,1980s,1.955649908,1.667277425,20882,52970,30644,19180,11563,6251,2917,1427,577,276,113,49,18,12,11,10,14,23,16,8,6,,,,,,
Torpedonoscy,,1983,Brezhnev,1980s,2.706160089,2.752560066,21656,35749,30091,11944,8983,6772,5840,4236,3135,2460,1803,1471,678,259,144,95,61,60,34,25,26,21,7,,,,
Bitva za Moskvu 1985,1,1985,Gorbachev,1980s,3.364363581,3.281415213,24113,29993,22846,21282,7352,6502,5959,6645,5172,5582,4423,2729,1515,879,460,203,86,17,2,1,,,,,,,
Bitva za Moskvu 1985,2,1985,Gorbachev,1980s,2.787102281,3.195031769,37543,40315,26506,16329,8958,8125,7088,4214,3513,3026,2634,2131,1799,1241,807,414,258,157,90,35,9,,,,,,
Bitva za Moskvu 1985,3,1985,Gorbachev,1980s,3.272047333,3.339208375,26002,32994,30281,13912,8829,11708,7671,5517,3855,3411,3482,2694,2019,1300,805,360,246,198,128,63,20,,,,,,
Bitva za Moskvu 1985,4,1985,Gorbachev,1980s,3.70506591,4.14033513,37440,35488,20662,15105,6912,6008,5250,7174,6359,4941,3418,3726,4361,4147,3069,1350,530,221,67,42,11,6,1,,,,
Idi i smotri 1985,1,1985,Gorbachev,1980s,2.345797323,2.912317031,12995,44823,17150,4262,2161,1507,1205,1708,2780,2382,1650,1288,815,567,290,75,19,9,3,,,,,,,,
Idi i smotri 1985,2,1985,Gorbachev,1980s,3.717773992,3.819187196,18936,30355,11443,6048,6062,4369,4713,5011,4925,4659,4396,3516,2301,1368,663,287,89,34,4,3,,,,,,,
Tainaja progulka,,1985,Gorbachev,1980s,1.886055992,1.582308216,25506,30148,49877,22276,6790,2839,1267,632,283,212,229,194,401,86,60,5,1,,,,,,,,,,
Postarajsja ostatsja zhivym,,1986,Gorbachev,1980s,1.94950986,1.780202039,21089,20366,28733,12454,6201,2529,1761,1453,780,552,184,52,25,15,3,,,,,,,,,,,,
Soshedshie s nebes,,1986,Gorbachev,1980s,1.9737225,1.694865023,12831,38606,35443,13903,5465,3048,1751,1058,677,574,354,131,71,45,63,37,29,4,,,,,,,,,
Zavtra byla vojna,,1987,Gorbachev,1980s,3.004016254,3.062849444,6232,37101,43372,9711,5775,4302,3450,4205,3682,2449,1578,1249,893,736,607,370,452,195,145,148,70,12,1,,,,
Gu-ga,,1989,Gorbachev,1980s,2.863542157,3.237031302,50700,50656,38643,23644,14426,11290,8500,6296,6079,4297,3388,2822,2033,1408,1141,767,479,285,182,105,44,31,18,13,4,4,2
Stalingrad 1989,2,1989,Gorbachev,1980s,2.63024748,2.822872082,31741,47980,33241,19677,12205,7645,5672,4791,3741,3048,2350,1620,1040,575,349,279,187,113,51,25,22,25,21,10,4,5,1
